close,open,high,low,volume
1080.94000000,1085.00000000,1089.19000000,1078.81000000,4319.08574000
1078.97000000,1080.94000000,1081.67000000,1070.27000000,5039.48898000
1082.59000000,1079.00000000,1085.89000000,1078.70000000,2731.71327000
1075.22000000,1082.40000000,1082.58000000,1073.27000000,2873.66302000
1073.90000000,1075.50000000,1077.87000000,1070.99000000,2855.02099000
1067.82000000,1073.54000000,1073.67000000,1066.68000000,3157.37989000
1066.54000000,1067.90000000,1071.80000000,1064.16000000,4760.44321000
1071.18000000,1066.77000000,1071.65000000,1059.00000000,4362.00083000
1070.83000000,1071.72000000,1075.00000000,1068.88000000,2749.69422000
1080.59000000,1071.07000000,1081.33000000,1070.79000000,2699.25215000
1075.80000000,1080.61000000,1081.14000000,1075.12000000,1450.80762000
1071.12000000,1075.80000000,1075.81000000,1069.31000000,1745.38421000
1067.92000000,1070.99000000,1077.88000000,1067.21000000,2223.89082000
1068.96000000,1067.36000000,1070.72000000,1063.77000000,3179.53761000
1071.73000000,1069.02000000,1071.73000000,1064.10000000,3291.33760000
1066.21000000,1071.73000000,1073.16000000,1065.66000000,1548.06945000
1062.95000000,1066.31000000,1068.44000000,1062.17000000,2111.20089000
1058.54000000,1062.94000000,1063.79000000,1054.01000000,3854.47959000
1056.11000000,1058.86000000,1063.55000000,1055.05000000,2986.58181000
1062.99000000,1055.94000000,1066.22000000,1055.67000000,2465.13752000
1059.69000000,1063.42000000,1063.42000000,1057.18000000,2914.91243000
1049.78000000,1060.00000000,1060.86000000,1049.46000000,3268.13914000
1055.36000000,1049.77000000,1058.95000000,1049.70000000,2631.02731000
1050.15000000,1055.21000000,1055.71000000,1049.22000000,2175.30498000
1045.72000000,1050.38000000,1050.58000000,1042.83000000,3828.11753000
1043.20000000,1045.37000000,1049.81000000,1042.31000000,3745.23881000
1049.08000000,1043.18000000,1049.85000000,1042.49000000,4694.52176000
1061.28000000,1049.08000000,1061.76000000,1048.88000000,7464.22905000
1064.79000000,1061.41000000,1066.98000000,1059.71000000,4182.98802000
1064.94000000,1064.96000000,1067.47000000,1060.70000000,4819.40311000
1068.23000000,1064.83000000,1071.49000000,1064.54000000,2685.10406000
1067.49000000,1068.52000000,1070.00000000,1066.58000000,2838.92421000
1077.00000000,1067.40000000,1078.00000000,1067.12000000,1749.04806000
1074.93000000,1077.05000000,1077.88000000,1072.39000000,2649.93967000
1072.82000000,1074.94000000,1074.94000000,1067.87000000,2569.03295000
1082.00000000,1072.65000000,1083.31000000,1072.44000000,4273.45931000
1076.52000000,1082.24000000,1083.31000000,1076.00000000,2964.46072000
1083.99000000,1076.52000000,1084.72000000,1074.20000000,3389.11333000
1089.24000000,1083.99000000,1092.39000000,1083.17000000,4449.04568000
1094.91000000,1089.24000000,1095.64000000,1086.29000000,3718.60848000
1094.73000000,1095.19000000,1098.91000000,1091.77000000,4692.32792000
1093.20000000,1094.70000000,1097.27000000,1091.19000000,2345.52820000
1087.46000000,1093.17000000,1095.21000000,1086.44000000,1747.59189000
1089.58000000,1087.29000000,1091.69000000,1086.16000000,1946.63977000
1085.83000000,1089.58000000,1089.58000000,1085.00000000,2158.02314000
1086.99000000,1086.04000000,1088.84000000,1082.62000000,1997.94766000
1092.26000000,1086.98000000,1092.71000000,1084.40000000,1794.94358000
1096.00000000,1092.41000000,1096.72000000,1091.72000000,2040.84231000
1092.11000000,1096.00000000,1096.30000000,1090.74000000,2227.59708000
1095.68000000,1092.28000000,1096.95000000,1091.82000000,2566.37995000
1116.38000000,1095.89000000,1117.59000000,1095.74000000,6228.53323000
1111.89000000,1116.38000000,1118.80000000,1108.90000000,4622.38333000
1117.31000000,1111.82000000,1117.98000000,1111.00000000,2689.17731000
1108.17000000,1117.31000000,1118.02000000,1108.01000000,5566.16678000
1111.35000000,1108.49000000,1112.68000000,1105.00000000,2182.38021000
1116.43000000,1111.35000000,1116.92000000,1111.20000000,4674.71209000
1118.34000000,1116.04000000,1118.70000000,1115.56000000,2566.59621000
1121.11000000,1118.21000000,1123.70000000,1114.73000000,3159.21310000
1128.10000000,1121.14000000,1130.25000000,1120.53000000,4027.88665000
1132.77000000,1128.38000000,1135.00000000,1125.00000000,5777.48834000
1131.75000000,1132.42000000,1134.21000000,1128.69000000,4777.38772000
1125.67000000,1131.76000000,1131.76000000,1124.87000000,4353.63452000
1126.06000000,1125.40000000,1126.83000000,1122.15000000,1845.67417000
1131.30000000,1126.25000000,1131.92000000,1125.97000000,2659.21895000
1129.05000000,1131.03000000,1131.40000000,1125.26000000,2598.41964000
1126.19000000,1129.46000000,1130.00000000,1124.50000000,1457.55879000
1125.12000000,1126.16000000,1127.92000000,1124.50000000,970.44058000
1134.52000000,1125.07000000,1135.00000000,1125.00000000,2554.35167000
1137.29000000,1134.52000000,1139.33000000,1132.47000000,3152.75503000
1136.52000000,1137.40000000,1139.21000000,1134.20000000,2311.42787000
1137.39000000,1136.88000000,1139.37000000,1135.59000000,2068.73245000
1129.59000000,1137.22000000,1137.22000000,1128.89000000,2207.30524000
1122.88000000,1129.41000000,1129.57000000,1121.79000000,3211.06823000
1118.28000000,1123.11000000,1125.00000000,1117.55000000,3046.10639000
1120.63000000,1118.28000000,1120.89000000,1116.29000000,1932.31691000
1117.40000000,1120.31000000,1123.00000000,1115.80000000,1639.83007000
1117.93000000,1117.43000000,1120.85000000,1116.43000000,1274.42814000
1127.54000000,1117.77000000,1127.54000000,1117.72000000,1655.41021000
1133.58000000,1127.41000000,1134.35000000,1125.32000000,2155.56716000
1134.54000000,1133.58000000,1134.79000000,1130.14000000,1735.63393000
1147.28000000,1134.77000000,1147.86000000,1134.63000000,4796.54404000
1148.90000000,1147.10000000,1161.10000000,1140.92000000,9032.28870000
1141.83000000,1148.69000000,1151.05000000,1141.64000000,3735.65781000
1138.09000000,1141.78000000,1144.09000000,1137.86000000,2190.22287000
1136.68000000,1138.10000000,1139.51000000,1135.31000000,2179.44814000
1138.30000000,1136.47000000,1145.81000000,1136.30000000,2778.51680000
1133.22000000,1138.35000000,1140.37000000,1132.81000000,2152.57592000
1135.62000000,1133.00000000,1139.27000000,1132.00000000,3101.78569000
1138.94000000,1135.73000000,1140.00000000,1134.12000000,1616.83666000
1141.61000000,1139.00000000,1144.06000000,1138.32000000,2332.21377000
1137.00000000,1141.60000000,1141.69000000,1136.19000000,1911.23851000
1135.19000000,1136.99000000,1137.17000000,1133.07000000,1784.10859000
1138.23000000,1135.20000000,1139.88000000,1131.65000000,1224.77023000
1143.62000000,1138.34000000,1144.94000000,1137.46000000,1355.71798000
1136.41000000,1143.61000000,1143.63000000,1135.00000000,1233.55625000
1140.88000000,1136.35000000,1142.11000000,1135.19000000,962.62801000
1141.86000000,1140.80000000,1145.35000000,1139.50000000,1294.16321000
1135.00000000,1141.88000000,1143.96000000,1135.00000000,1331.57651000
1143.82000000,1135.08000000,1144.06000000,1133.70000000,2810.05791000
1147.84000000,1143.82000000,1147.84000000,1142.44000000,1877.69134000
1147.07000000,1147.85000000,1148.79000000,1143.27000000,2346.91545000
1142.89000000,1147.05000000,1149.00000000,1141.13000000,2215.57664000
1144.26000000,1143.16000000,1147.86000000,1141.45000000,2301.56220000
1144.71000000,1144.25000000,1148.02000000,1142.59000000,2452.21838000
1139.70000000,1144.55000000,1145.01000000,1137.00000000,2191.28170000
1141.26000000,1139.74000000,1143.92000000,1137.57000000,1848.83800000
1139.16000000,1141.26000000,1141.85000000,1138.00000000,920.24591000
1140.00000000,1139.27000000,1143.42000000,1138.64000000,1069.27041000
1139.59000000,1140.60000000,1142.01000000,1138.80000000,898.55501000
1137.74000000,1139.54000000,1141.00000000,1137.45000000,934.63744000
1138.20000000,1137.91000000,1142.00000000,1137.53000000,1360.99687000
1139.20000000,1138.09000000,1141.99000000,1138.08000000,1018.64686000
1142.47000000,1139.15000000,1146.04000000,1138.21000000,1469.23899000
1140.95000000,1142.54000000,1142.56000000,1139.00000000,1029.13328000
1138.53000000,1140.87000000,1141.37000000,1137.18000000,1501.45894000
1137.06000000,1138.52000000,1141.28000000,1137.00000000,838.78078000
1134.76000000,1137.27000000,1138.72000000,1134.00000000,1322.01476000
1136.99000000,1134.76000000,1139.05000000,1134.38000000,796.79154000
1144.06000000,1137.00000000,1144.49000000,1136.98000000,926.44746000
1147.33000000,1144.05000000,1148.00000000,1143.78000000,1791.58854000
1153.30000000,1147.26000000,1153.52000000,1146.50000000,1428.72914000
1151.15000000,1153.51000000,1153.88000000,1150.58000000,1133.51207000
1153.04000000,1151.01000000,1153.55000000,1149.67000000,1659.47939000
1154.06000000,1153.00000000,1156.99000000,1151.29000000,1593.57308000
1152.55000000,1154.28000000,1154.49000000,1150.74000000,974.84759000
1158.58000000,1152.49000000,1158.69000000,1151.91000000,1393.09068000
1157.59000000,1158.63000000,1159.91000000,1156.07000000,1626.53182000
1160.74000000,1157.59000000,1161.42000000,1156.79000000,1896.75670000
1152.06000000,1160.57000000,1160.60000000,1151.16000000,1978.94715000
1152.02000000,1152.01000000,1152.93000000,1150.10000000,2322.86520000
1148.25000000,1151.92000000,1151.92000000,1148.13000000,1533.93788000
1145.89000000,1148.29000000,1148.74000000,1144.90000000,987.66536000
1141.13000000,1145.90000000,1146.20000000,1141.00000000,1077.95817000
1143.82000000,1141.34000000,1145.00000000,1140.83000000,1111.34661000
1142.76000000,1143.63000000,1146.97000000,1141.61000000,1025.39018000
1144.64000000,1142.76000000,1146.35000000,1142.43000000,887.81557000
1144.40000000,1144.65000000,1146.88000000,1143.00000000,1031.97751000
1141.21000000,1144.38000000,1145.86000000,1140.30000000,1340.33998000
1144.33000000,1141.32000000,1146.12000000,1141.16000000,704.59234000
1144.18000000,1144.33000000,1146.24000000,1143.32000000,670.27415000
1144.87000000,1144.02000000,1144.99000000,1143.00000000,668.39724000
1143.02000000,1144.85000000,1146.75000000,1143.00000000,772.57442000
1137.76000000,1143.02000000,1143.33000000,1136.74000000,1478.33772000
1133.08000000,1137.81000000,1137.81000000,1131.03000000,2683.94486000
1130.02000000,1133.07000000,1134.60000000,1130.00000000,2534.40479000
1130.60000000,1130.02000000,1132.01000000,1126.44000000,4157.34581000
1130.48000000,1130.59000000,1131.55000000,1128.44000000,1070.11363000
1132.50000000,1130.62000000,1133.12000000,1130.36000000,930.93951000
1135.19000000,1132.45000000,1135.27000000,1129.44000000,1698.91838000
1132.34000000,1134.87000000,1135.39000000,1131.34000000,1306.11427000
1136.94000000,1132.62000000,1137.60000000,1132.62000000,1493.44138000
1136.43000000,1136.72000000,1136.72000000,1133.62000000,838.93714000
1139.91000000,1136.22000000,1140.00000000,1134.27000000,796.21804000
1144.24000000,1139.66000000,1144.41000000,1138.33000000,873.24798000
1142.37000000,1144.11000000,1144.25000000,1141.83000000,539.21791000
1144.41000000,1142.37000000,1145.11000000,1142.37000000,772.11920000
1142.80000000,1144.39000000,1144.40000000,1142.00000000,453.52669000
1149.00000000,1142.80000000,1149.89000000,1140.83000000,1012.93690000
1152.57000000,1149.19000000,1153.90000000,1149.19000000,1356.23451000
1150.31000000,1152.58000000,1152.79000000,1149.52000000,665.42567000
1152.78000000,1150.22000000,1153.00000000,1149.53000000,781.79169000
1150.46000000,1152.78000000,1152.78000000,1149.90000000,521.03253000
1148.98000000,1150.46000000,1150.52000000,1147.53000000,534.81831000
1147.50000000,1148.98000000,1148.98000000,1145.31000000,593.91135000
1145.00000000,1147.50000000,1147.55000000,1142.93000000,1344.46502000
1144.60000000,1145.04000000,1148.00000000,1144.18000000,485.12031000
1144.73000000,1144.57000000,1146.89000000,1142.37000000,930.23093000
1147.63000000,1144.79000000,1149.00000000,1144.50000000,552.37051000
1148.07000000,1147.21000000,1148.80000000,1145.97000000,504.23887000
1144.54000000,1148.08000000,1148.08000000,1143.48000000,802.50015000
1144.83000000,1144.25000000,1144.83000000,1142.00000000,638.28011000
1151.40000000,1144.83000000,1151.41000000,1144.21000000,1071.37028000
1149.71000000,1151.41000000,1152.53000000,1149.63000000,1264.36079000
1148.05000000,1149.76000000,1150.60000000,1146.56000000,1408.10752000
1146.39000000,1148.06000000,1148.21000000,1145.00000000,797.35719000
1147.24000000,1146.39000000,1147.25000000,1144.39000000,898.52248000
1150.37000000,1147.25000000,1151.91000000,1146.82000000,1471.12871000
1147.52000000,1150.37000000,1150.63000000,1147.01000000,580.10692000
1156.72000000,1147.58000000,1157.15000000,1147.18000000,1376.67318000
1161.95000000,1156.72000000,1163.51000000,1153.95000000,3756.26255000
1158.77000000,1161.91000000,1164.00000000,1158.05000000,2093.47615000
1161.20000000,1158.69000000,1161.20000000,1156.48000000,957.87888000
1158.22000000,1161.22000000,1161.98000000,1157.60000000,1131.86208000
1157.51000000,1158.22000000,1159.43000000,1156.81000000,971.17303000
1155.92000000,1157.33000000,1157.52000000,1155.01000000,526.94741000
1157.77000000,1155.92000000,1158.79000000,1155.54000000,882.75753000
1160.73000000,1157.77000000,1161.47000000,1157.23000000,1641.48557000
1160.14000000,1160.65000000,1160.90000000,1156.86000000,959.85805000
1164.42000000,1160.34000000,1164.67000000,1160.24000000,1820.08317000
1163.49000000,1164.42000000,1165.65000000,1162.86000000,1590.98784000
1158.02000000,1163.55000000,1164.56000000,1157.91000000,1522.94685000
1167.09000000,1158.02000000,1168.08000000,1157.27000000,2902.91869000
1167.59000000,1167.05000000,1168.47000000,1164.76000000,1852.99483000
1168.04000000,1167.72000000,1169.58000000,1167.43000000,1685.12001000
1170.38000000,1168.19000000,1171.22000000,1167.70000000,1633.39700000
1175.53000000,1170.80000000,1176.22000000,1170.62000000,3094.82499000
1180.63000000,1175.66000000,1181.22000000,1175.16000000,4047.65895000
1178.74000000,1180.77000000,1182.22000000,1175.00000000,3015.18595000
1175.76000000,1178.89000000,1179.48000000,1175.41000000,1581.90105000
1181.07000000,1176.22000000,1181.39000000,1175.29000000,1403.78448000
1183.23000000,1180.94000000,1183.23000000,1179.68000000,1722.51662000
1188.61000000,1183.23000000,1189.00000000,1183.23000000,3455.95878000
1182.08000000,1188.61000000,1188.78000000,1172.82000000,5106.81656000
1178.99000000,1182.01000000,1182.50000000,1176.64000000,1973.98627000
1174.58000000,1179.01000000,1179.32000000,1173.37000000,4873.43520000
1177.55000000,1174.59000000,1178.00000000,1174.23000000,3065.62786000
1174.67000000,1177.55000000,1177.55000000,1173.36000000,1466.59436000
1173.30000000,1174.70000000,1174.93000000,1172.53000000,790.98666000
1175.52000000,1173.48000000,1176.14000000,1173.07000000,1013.23406000
1177.54000000,1175.51000000,1178.00000000,1174.01000000,904.38757000
1177.32000000,1177.95000000,1178.42000000,1175.21000000,774.57777000
1178.04000000,1177.45000000,1180.91000000,1176.01000000,1200.25127000
1175.78000000,1178.04000000,1178.04000000,1174.78000000,825.28697000
1174.76000000,1175.78000000,1176.39000000,1173.10000000,865.82607000
1172.30000000,1174.75000000,1175.46000000,1171.96000000,855.08119000
1172.16000000,1172.29000000,1173.83000000,1171.90000000,678.43981000
1175.39000000,1172.14000000,1175.39000000,1172.09000000,798.43305000
1180.69000000,1175.10000000,1180.70000000,1174.01000000,1479.28332000
1178.99000000,1180.38000000,1181.76000000,1178.08000000,996.34104000
1176.23000000,1178.99000000,1179.53000000,1175.95000000,1169.84129000
1172.25000000,1176.23000000,1176.23000000,1170.24000000,1438.87962000
1167.23000000,1172.26000000,1172.26000000,1167.11000000,1916.48570000
1166.65000000,1167.31000000,1168.97000000,1164.97000000,2316.08750000
1166.91000000,1166.59000000,1169.79000000,1165.61000000,1305.33283000
1167.84000000,1166.62000000,1168.47000000,1166.29000000,737.93969000
1168.23000000,1167.83000000,1168.46000000,1165.89000000,527.31961000
1171.79000000,1168.40000000,1171.86000000,1167.68000000,1316.11832000
1172.20000000,1171.78000000,1172.20000000,1169.26000000,1009.59988000
1170.06000000,1172.19000000,1173.00000000,1170.00000000,560.80326000
1168.12000000,1170.21000000,1171.80000000,1167.36000000,714.11648000
1166.00000000,1168.13000000,1168.89000000,1165.30000000,1034.87522000
1163.76000000,1166.00000000,1167.24000000,1161.89000000,1571.37970000
1162.78000000,1163.47000000,1168.85000000,1162.76000000,1528.20560000
1162.03000000,1162.89000000,1164.12000000,1159.30000000,1275.00326000
1164.19000000,1162.03000000,1165.66000000,1160.43000000,1321.71514000
1162.48000000,1164.06000000,1164.75000000,1161.31000000,802.45764000
1166.08000000,1162.48000000,1166.99000000,1162.09000000,800.73001000
1162.01000000,1165.88000000,1167.11000000,1161.62000000,894.48175000
1157.00000000,1162.07000000,1162.08000000,1155.79000000,1736.27255000
1156.64000000,1157.00000000,1157.59000000,1154.27000000,1576.57501000
1156.26000000,1156.44000000,1156.65000000,1153.35000000,908.04199000
1156.92000000,1156.39000000,1159.38000000,1155.53000000,559.17490000
1157.88000000,1156.83000000,1158.60000000,1152.21000000,1777.58661000
1159.33000000,1157.92000000,1159.72000000,1156.73000000,695.48305000
1155.79000000,1159.40000000,1160.82000000,1155.40000000,655.15864000
1159.72000000,1155.71000000,1160.00000000,1155.62000000,718.49751000
1158.57000000,1159.56000000,1159.76000000,1156.15000000,944.45490000
1155.39000000,1158.61000000,1160.54000000,1154.00000000,959.88291000
1152.79000000,1155.38000000,1155.55000000,1151.76000000,866.10199000
1152.19000000,1152.43000000,1155.00000000,1151.98000000,818.51036000
1149.44000000,1152.00000000,1153.00000000,1147.68000000,2635.81727000
1149.80000000,1149.43000000,1151.24000000,1147.11000000,1484.76828000
1153.38000000,1149.81000000,1153.38000000,1149.75000000,945.40239000
1151.55000000,1153.25000000,1154.08000000,1150.60000000,644.39210000
1155.48000000,1151.54000000,1156.44000000,1149.20000000,3467.17911000
1158.66000000,1155.42000000,1159.49000000,1155.27000000,617.08415000
1159.43000000,1158.65000000,1160.75000000,1156.18000000,1024.27729000
1158.33000000,1159.56000000,1159.90000000,1158.01000000,530.85603000
1152.95000000,1158.33000000,1158.57000000,1152.63000000,608.34810000
1150.20000000,1152.94000000,1153.14000000,1149.88000000,637.76634000
1155.01000000,1150.35000000,1156.58000000,1149.91000000,548.25882000
1160.45000000,1155.01000000,1160.81000000,1154.98000000,772.93119000
1165.54000000,1160.46000000,1167.44000000,1160.16000000,2177.31296000
1164.08000000,1165.55000000,1166.17000000,1163.00000000,2434.71751000
1162.83000000,1164.04000000,1164.59000000,1162.24000000,665.92459000
1160.26000000,1162.82000000,1163.48000000,1157.90000000,887.06312000
1154.80000000,1160.19000000,1160.27000000,1154.56000000,967.04568000
1156.99000000,1154.81000000,1159.69000000,1154.41000000,1347.24111000
1157.11000000,1157.10000000,1157.57000000,1154.62000000,432.34729000
1158.00000000,1157.00000000,1159.85000000,1155.99000000,670.60955000
1159.11000000,1158.00000000,1160.52000000,1156.48000000,890.28630000
1165.38000000,1159.23000000,1167.53000000,1158.57000000,1744.78178000
1165.13000000,1165.60000000,1165.86000000,1162.63000000,881.16035000
1164.49000000,1165.40000000,1166.46000000,1163.55000000,1114.64961000
1164.51000000,1164.59000000,1165.11000000,1163.68000000,341.74972000
1170.17000000,1164.52000000,1171.00000000,1163.21000000,3512.11707000
1172.61000000,1170.17000000,1173.87000000,1168.70000000,2294.06223000
1178.90000000,1172.60000000,1179.40000000,1169.69000000,4073.01951000
1179.05000000,1178.95000000,1179.26000000,1176.34000000,2133.15050000
1178.75000000,1179.04000000,1181.00000000,1178.75000000,1560.04427000
1176.74000000,1178.66000000,1179.15000000,1175.15000000,1310.16732000
1176.76000000,1176.73000000,1178.36000000,1175.10000000,1084.33382000
1179.95000000,1176.57000000,1181.40000000,1176.11000000,1731.00012000
1180.78000000,1179.70000000,1181.44000000,1179.70000000,527.50044000
1180.03000000,1180.73000000,1184.45000000,1179.79000000,1425.71074000
1178.19000000,1180.05000000,1181.31000000,1178.02000000,811.88806000
1177.52000000,1178.00000000,1178.39000000,1176.00000000,1069.53786000
1176.22000000,1177.46000000,1177.79000000,1176.00000000,481.23300000
1175.13000000,1176.21000000,1177.64000000,1174.90000000,1026.48177000
1176.80000000,1175.15000000,1177.00000000,1175.06000000,534.46914000
1174.70000000,1176.76000000,1177.59000000,1174.32000000,1091.73420000
1175.07000000,1174.62000000,1176.34000000,1174.00000000,392.75792000
1171.79000000,1175.08000000,1175.27000000,1171.04000000,916.65701000
1174.59000000,1171.76000000,1176.35000000,1171.57000000,1008.09156000
1173.85000000,1174.59000000,1176.34000000,1172.67000000,681.49763000
1175.60000000,1173.86000000,1177.00000000,1173.45000000,1175.28791000
1179.44000000,1175.73000000,1179.44000000,1175.25000000,1300.38201000
1178.89000000,1179.07000000,1179.62000000,1176.54000000,1583.28280000
1177.99000000,1178.75000000,1179.56000000,1176.98000000,1160.65013000
1177.09000000,1178.28000000,1178.32000000,1176.22000000,591.93285000
1178.73000000,1177.09000000,1179.85000000,1176.51000000,841.28883000
1176.27000000,1178.76000000,1179.34000000,1176.00000000,1141.69010000
1179.42000000,1176.26000000,1180.17000000,1175.02000000,4919.30557000
1176.78000000,1179.42000000,1180.52000000,1176.39000000,2383.73431000
1172.76000000,1176.79000000,1176.95000000,1172.32000000,1426.31317000
1174.42000000,1172.83000000,1176.58000000,1171.81000000,1741.35450000
1174.28000000,1174.24000000,1174.98000000,1173.02000000,630.12429000
1173.85000000,1174.51000000,1178.57000000,1173.04000000,1513.92930000
1167.87000000,1173.79000000,1173.79000000,1167.60000000,2155.22965000
1168.65000000,1167.84000000,1170.48000000,1167.58000000,2845.75506000
1169.11000000,1168.75000000,1172.01000000,1167.34000000,1157.23507000
1167.06000000,1168.88000000,1169.32000000,1166.02000000,861.01483000
1167.16000000,1167.12000000,1169.68000000,1166.16000000,1368.97761000
1164.52000000,1167.21000000,1167.84000000,1163.00000000,1573.71560000
1164.21000000,1164.52000000,1166.45000000,1163.00000000,2327.79417000
1162.22000000,1164.52000000,1166.14000000,1162.00000000,890.93093000
1161.25000000,1162.21000000,1163.47000000,1160.46000000,999.92666000
1162.88000000,1161.10000000,1165.47000000,1161.03000000,1234.20079000
